Job Title,Count
Pædagog,1660
Sygeplejerske,1320
Social- og sundhedsassistent,1297
Social- og sundhedshjælper,783
Rengøringsassistent,775
Folkeskolelærer,654
Handicaphjælper,584
Kok,558
Butiksassistent,556
Elektriker,466
Lager- og logistikmedarbejder,465
Studentermedhjælp,404
Tømrer,403
Produktionsmedarbejder,402
Pædagogmedhjælper,399
Kundeservicemedarbejder,360
Socialpædagog,354
Læge,350
Køkkenmedhjælper,347
Tjener,345
Butiksmedhjælper,306
Socialrådgiver,291
Projektleder,280
Salgskonsulent,275
Afdelingsleder,234
Klejnsmed,217
Kontorassistent,200
"Chauffør, fragt, distribution, blandet kørsel",198
Fysioterapeut,187
Automekaniker,183
Industritekniker,183
Fuldmægtig,176
Jurist,163
Psykolog,157
Lægesekretær,140
Social- og sundhedsassistentelev,139
Murer,138
Ernæringsassistent,134
Omsorgshjælper,131
VVS-montør,130
IT-konsulent,129
"Afdelingsleder, offentlig",129
Maskinfører,128
Ergoterapeut,121
Butikschef,121
Bogholderi- og regnskabsassistent,118
Dagplejer,113
Specialkonsulent,113
Bogholder,111
Serveringsmedarbejder,108
Servicetekniker,108
Omsorgsmedhjælper,106
Anlægsgartner,103
Salgs- og kundeansvarlig,101
Marketingmedarbejder,100
Økonomicontroller,98
Opvasker,95
Restaurantchef,94
salgsassistent,94
Social- og sundhedshjælperelev,94
Job- og virksomhedskonsulent,93
Mekaniker,92
Kontormedhjælper,91
Cafemedarbejder,89
"Specialarbejder, byggeri",89
IT-supporter,87
Truckfører,86
"Post doc., naturvidenskab og teknik",86
Kontorelev,85
Sergent,85
Faglærer,83
Programmør og systemudvikler,82
Overlæge,80
Bygningsmaler,78
Økonomiassistent,78
"Specialarbejder, jord og beton",77
Pædagogisk assistent,75
Køkkenchef,75
CNC-operatør,74
"Chauffør, specialtransport",74
Kampagnemedarbejder,72
Smed,72
Bioanalytiker,71
"Ph.d., naturvidenskab og teknik",69
"Sagsbehandler, kommunal",68
Bartender,68
administrativ assistent,68
"Servicetekniker, rengøring og ejendomsservice",67
Indkøber,66
Byggeleder,66
"Sikkerhedsmedarbejder, vagt, sikkerhed og overvågning,",66
Svejser,65
Vinduespudser,64
"Specialarbejder, grønne områder",64
Sagsbehandler,64
Rengøringsassistent i kontor,63
Frisør,62
Konstabel,61
Sekretær,60
Assistent til salgssupport,59
Account manager,58
Projektkoordinator,58
Butikselev,57
"Specialarbejder, jern og metal",57
Civilingeniør,57
Kontorfuldmægtig,56
Projektmedarbejder,56
"ph.d., naturvidenskab og teknik",55
Speciallæge,54
"Kontorelev, administration",54
Fastfood ekspedient,53
"Operatør, jern & metal",53
Bygningskonstruktør,53
Gartner,53
Ekspedient,53
Afdelingschef,51
Kontormedarbejder,51
Graver,51
Skolepædagog,51
Plejehjemsmedhjælper,49
Udviklingskonsulent,49
HR-konsulent,49
"Rengøringsassistent, hotel",49
"Receptionist, hotel",48
"Daglig leder, institution",48
Skoleleder,47
Tandlæge,47
Lønbogholder,47
Interviewer,47
Områdechef,46
Koordinator,46
Automatiktekniker,46
Tandklinikassistent,45
"Receptionist, kontor",45
Landbrugsmedhjælper,45
Driftsleder,45
Uddannelses- og erhvervsvejleder,44
Kokkeelev,44
Pedel,44
Præst,43
Maskiningeniør,42
Teknisk servicemedarbejder,41
Bygningsingeniør,41
"Analytiker, data og analyse",41
"Souschef, køkken",41
Aftenskolelærer,41
Hospitalsserviceassistent,40
Ejendomsmægler,40
"Rengøringsassistent, privat",40
Lastvognsmekaniker,40
Pakkerimedarbejder,40
Officer,39
Laborant,39
Teknisk designer,39
Procesoperatør,39
Chefkonsulent,39
Jordemoder,38
Massør,38
Bager,38
Salgschef,37
Autolakerer,37
Faglig konsulent,37
Specialsygeplejerske,37
IT-ingeniør,36
"Chauffør, persontransport",36
Entreprenørmaskinemekaniker,36
Vicevært,36
Rørlægger,35
Skolesekretær,35
Kirketjener,34
IT-supporterelev,34
"Logistikmedarbejder, salg og indkøb",34
Taxichauffør,34
"Softwareudvikler, backend",34
Brolægger,34
Kvalitetsmedarbejder,33
"Post doc., sundhedsvidenskab",33
Dækmontør,33
Call centermedarbejder,33
Revisor,32
Tandplejer,32
Klargører,32
"Industrioperatør, ikke uddannet",31
"Kontorelev, økonomi",31
Maskinsnedker,30
IT-projektleder,30
Friskolelærer,30
Gartneriarbejder,30
Ledende sygeplejerske,30
Støttepædagog,30
Lagerekspedient,30
Delikatesseassistent,30
Landbrugsmaskinemekaniker,30
Buschauffør,30
Økonomichef,29
"Daglig leder, institution for børn og unge",29
Cater,29
"Formand, drift og produktion",28
Direktør,28
Anlægsstruktør,28
Værkfører,28
Fagkonsulent,28
Klubpædagog,28
Tolk,27
Gulvlægger,27
Musiklærer,27
Industrilakerer,27
Kloakrørlægger,27
Speciallærer,27
Adjunkt,27
"Teamleder, sundhed",27
Personalekonsulent,27
Pizzabager,27
Anlægsgartnerarbejder,26
Økonom,26
"Researcher, rekruttering",26
Handelselev,26
Maskinmester,26
Ernærings- og sundhedskonsulent,26
Ventilationstekniker,26
Erhvervsskolelærer,26
Værkstedsassistent,26
Kontorchef,26
Renovationsarbejder,26
Automekanikerlærling,25
Vært i restaurant,25
Merchandiser,25
Reservedelsekspedient,25
IT-tekniker,25
IT-arkitekt,24
Familieplejer,24
Pædagogisk konsulent,24
Produktionsteknolog,24
Maskinoperatør,24
Sproglærer,24
Produktionstekniker,24
Direktionssekretær,23
"Specialarbejder, tømrer",23
Gymnasielærer,23
"Kontorelev, administation",23
Callcentermedarbejder,23
Elektronikfagtekniker,23
Kommunikationsmedarbejder,23
Elektronikarbejder,23
"ph.d., sundhedsvidenskab",23
Regnskabschef,23
"Operatør, fødevarer",22
Socialarbejder,22
Ledsager,22
"Chauffør, budtransport, køretøj under 3½ ton",22
Farmakonom,22
Businesscontroller,22
"Specialarbejder, kloak",22
"Adjunkt, professionshøjskole",21
Centerleder,21
Vagt,21
Stilladsmontør,21
Systemadministrator,21
"Daglig leder, institution for ældre",21
Byplanlægger,21
Byggesagsbehandler,21
Anlægsarbejder,21
"Rengøringsassistent, industri",20
Leder af offentlig forvaltning,20
Radiograf,20
Logopæd,20
Ernæringsassistentelev,20
Hotelmedarbejder,20
Arkitekt,20
"Post doc., samfundsvidenskab",20
Pedelmedhjælper,20
Uddannelsesleder,19
Kranfører,19
Slagtermester,19
Cykelmekaniker,19
"Softwareudvikler, frontend",19
Administrativ lægesekretær,19
Ejendomsservicetekniker,19
Omdeler,19
Forretningsudvikler,19
"Rengøringsassistent, hospital",19
Miljøkonsulent,18
Kordegn,18
"Institutionsleder, børn og unge",18
Kommunikationskonsulent,18
PAU-elev,18
Blikkenslager,17
Elektroingeniør,17
Elinstallatør,17
Rådgivende konsulent,17
VVS-installatør,17
"Gymnasielærer, naturvidenskab og idræt",17
Rengøringsinspektør,17
"Rejsemontør, industri",17
Produktionsleder,17
Værktøjsmager,17
Plade- og konstruktionssmed,16
Livredder,16
"Industrioperatør, uddannet",16
Kommunal planlægger,16
Idrætsinstruktør og -konsulent,16
Miljøtekniker,15
Arbejdsmiljøkonsulent,15
Husassistent,15
Nedriver,15
"Daglig leder, sundhed",15
Pædagogisk faglig koordinator,15
Serviceelektriker,15
"Chauffør, tankvogn",15
Tekstforfatter,15
Anæstesisygeplejerske,15
Møbelsnedker,15
Lagerchef,15
Klubmedarbejder,15
"ph.d., samfundsvidenskab",15
Speditør,15
Ejendomsadministrator,14
Brolæggerarbejde,14
Plejehjemsleder,14
Sundhedsplejerske,14
HR-assistent,14
Farmaceut,14
"Professor, naturvidenskab og teknik",14
Bankrådgiver,14
Rejsebureaumedarbejder,14
"Ekstern lektor, samfundsvidenskab",14
"Ph.d., sundhedsvidenskab",14
Fundraiser,14
Tandklinikassistentelev,14
Biolog,14
Produktchef,14
IT-sikkerhedskonsulent,13
Skibsfører,13
Blomsterbinder,13
"Adjunkt, naturvidenskab og teknik",13
Isolatør,13
"Afdelingschef, offentlig",13
Webudvikler,13
"Piccolo / piccoline, kontor",13
Finansmedarbejder,13
Bibliotekar,13
"Specialarbejder, murer",13
"Forskningsassistent, sundhedsvidenskab",13
"Operatør, træ",13
Dagtilbudsleder,13
Sognehjælper,12
SSP-medarbejder,12
Miljøingeniør,12
HVAC-tekniker,12
Socialformidler,12
Marketingchef,12
"Underviser, social- og sundhedsskoler",12
Optiker,12
Viceskoleleder,12
Supply chain manager,12
Dyrlæge,12
Dyrepasser,12
IT-kvalitetsmedarbejder,12
Journalist,12
Indkøbschef,12
Musiker,12
"Souschef, institution",12
Butiks- og detailslagter,12
Energiingeniør,12
Elektronikingeniør,12
Speditørelev,11
Sanger,11
"Arbejdsleder, produktion",11
Facility manager,11
Betonmager,11
"Lektor, sundhedsvidenskab",11
Automontør,11
Bil- og varevognschauffør til vareudbringning,11
Lektor,11
Mediegrafiker,11
Hospitalsmedhjælper,11
Flyttearbejder,11
Efterskolelærer,11
Skibsmontør,11
Sygeplejerske studerende,11
SOME-medarbejder,11
Organist,11
Kloakmester,11
Studiesekretær,11
Konditor,10
Intern sælger,10
Elektrikerlærling,10
Trafikplanlægger,10
Smedelærling,10
"Adjunkt, sundhedsvidenskab",10
Produktionsingeniør,10
"Specialarbejder, maler",10
Skov- og naturtekniker,10
Sekretariatschef,10
Eventmanager,10
"Lektor, samfundsvidenskab",10
Tjenerelev,10
"Undervisningsassistent, samfundsvidenskab",10
Kosmetolog,10
Landmand,10
Misbrugsbehandler,10
Datakonsulent,10
Laboratorieassistent,10
Smørrebrødsjomfru,10
VVS-tekniker,10
"Servicetekniker, jern og metal",10
Teknisk serviceleder,10
Produktionschef,9
Børne- og ungekoordinator,9
Slagteriarbejder,9
Forlystelsesmedarbejder,9
Skiltemaler,9
IT-chef,9
"Afdelingsleder, privat",9
Tale-hørelærer,9
Visitator,9
"Professor, sundhedsvidenskab",9
Uddannelseslæge,9
Plastmager,9
E-commerce manager,9
Klinisk psykolog,9
Automationsingeniør,9
Familievejleder,9
Medarbejder på turistkontor,9
Sygeplejerske med akademisk overbygning,9
Overassistent,9
Fitness-instruktør,9
"Civilingeniør, bygge og anlæg",9
Industrimekaniker,9
Kemiker,9
Negletekniker,9
Sygehuslæge,9
Karosserismed,9
Bygningssnedker,9
"Undervisningsassistent, naturvidenskab og teknik",9
Industrislagter,9
Administrationschef,9
UX designer,9
Bageriarbejder,9
Detailhandelselev,8
Sagsadministrator,8
Brandmand,8
Udviklingschef,8
Teknisk chef,8
Parkeringsvagt,8
"Underviser, professionshøjskole",8
Ejendomsfunktionær,8
Lærervikar,8
Køkkenmontør,8
Skovarbejder,8
"Gymnasielærer, humaniora og kreative fag",8
"Ph.d., samfundsvidenskab",8
Kontorleder,8
Driftsassistent,8
Kulturmedarbejder,8
Dørmand,8
Barista,8
Dokumentationsmedarbejder,8
Redder,8
Gartnerelev,7
Værkstedsleder,7
Landinspektør,7
Mejerist,7
Driftschef,7
Databaseadministrator,7
Bæredygtighedskonsulent,7
Natportier,7
Procesingeniør,7
Finansrådgiver,7
Vaskeriassistent,7
"Forsker, sundhedsvidenskab",7
Kvalitetsingeniør,7
Energikonsulent,7
Av tekniker,7
Farmakonomelev,7
Tagdækker,7
"Receptionschef, hotel",7
"Rejsemontør, bygge og anlæg",7
Karosseritekniker,7
Kvalitetschef,7
Ungdomsskolelærer,7
Kundeservicechef,7
Biblioteksassistent,7
Bilsynsassistent,7
Audiologiassistent,7
Lager- og logistikelev,7
Køletekniker,7
Datatekniker,6
Klinisk Diætist,6
Guide,6
Greenkeeper,6
Contract manager,6
Revisorassistent,6
Ordrebehandler,6
"Post doc., humaniora",6
Glarmester,6
Kasseassistent,6
Kort- og landmålingstekniker,6
"Lektor, naturvidenskab og teknik",6
"Professor, samfundsvidenskab",6
Virksomhedsudvikler,6
HR-chef,6
"Adjunkt, samfundsvidenskab",6
Industriteknikerlærling,6
Skolekonsulent,6
Vuggestueleder,6
Byggetekniker,6
FVU-lærer,6
